,ticker,ratings
116,CAG,Strong Buy
117,CAH,Hold
118,CAJ,Moderate Sell
119,CALM,Hold
120,CAT,Hold
121,CB,Moderate Buy
122,CBL,Moderate Sell
123,CBOE,Moderate Buy
124,CBRE,Moderate Buy
125,CBS,Moderate Buy
126,CCI,Moderate Buy
127,CCL,Moderate Buy
128,CCLAY,Moderate Sell
129,CCM,Moderate Sell
130,CCU,Moderate Sell
131,CDNS,Moderate Buy
132,CE,Moderate Buy
133,CELG,Hold
134,CERN,Moderate Buy
135,CF,Moderate Buy
136,CFG,Moderate Buy
137,CGC,Moderate Buy
138,CHD,Moderate Buy
139,CHRW,Hold
140,CHT,Hold
141,CHTR,Moderate Buy
142,CI,Strong Buy
143,CICOY,Strong Buy
144,CINF,Hold
145,CIT,Moderate Buy
146,CL,Moderate Buy
147,CLNE,Strong Sell
148,CLX,Hold
149,CM,Hold
150,CMA,Hold
151,CMCM,Hold
152,CMCSA,Moderate Buy
153,CME,Moderate Buy
154,CMG,Hold
155,CMI,Hold
156,CMO,Hold
157,CMS,Moderate Buy
158,CNC,Strong Buy
159,CNP,Moderate Buy
160,CNQ,Moderate Buy
161,CNS,Moderate Sell
162,COF,Moderate Buy
163,COG,Moderate Buy
164,COO,Strong Buy
165,COP,Strong Buy
166,COST,Moderate Buy
167,COTY,Hold
168,CPB,Hold
169,CPRI,Moderate Buy
170,CPRT,Hold
171,CPSI,Hold
172,CRM,Strong Buy
173,CRON,Hold
174,CSCO,Moderate Buy
175,CSIOY,Strong Sell
176,CSTE,Hold
177,CSX,Moderate Buy
178,CTAS,Moderate Buy
179,CTL,Hold
180,CTSH,Hold
181,CTST,Strong Buy
182,CTVA,Moderate Buy
183,CTWS,Hold
184,CTXS,Moderate Buy
185,CVE,Moderate Buy
186,CVS,Moderate Buy
187,CVX,Strong Buy
188,CXO,Strong Buy
189,CYH,Moderate Sell
190,CYOU,Moderate Sell
191,D,Moderate Buy
192,DAL,Moderate Buy
193,DB,Hold
194,DCOM,Moderate Sell
195,DD,Moderate Buy
196,DDS,Moderate Sell
197,DE,Moderate Buy
198,DF,Hold
199,DFIN,Hold
200,DFS,Moderate Buy
201,DG,Strong Buy
202,DGX,Moderate Buy
203,DHI,Moderate Buy
204,DHR,Strong Buy
205,DIIBF,No Ratings
206,DIS,Strong Buy
207,DISCA,Strong Buy
208,DISCK,Hold
209,DISH,Hold
210,DLR,Moderate Buy
211,DLTR,Moderate Buy
212,DO,Hold
213,DOV,Moderate Buy
214,DOW,Moderate Buy
215,DRE,Strong Buy
216,DRI,Moderate Buy
217,DTE,Moderate Buy
218,DTEGY,Moderate Sell
219,DUK,Hold
220,DVA,Moderate Buy
221,DVN,Moderate Buy
222,DXC,Moderate Buy
223,EA,Moderate Buy
224,EBAY,Moderate Buy
225,EC,Hold
226,ECA,Moderate Buy
227,ECL,Moderate Buy
228,ED,Hold
229,EDN,Hold
230,EFX,Moderate Buy
231,EIGI,Hold
232,EIX,Moderate Buy
233,EL,Moderate Buy
234,ELP,Moderate Buy
235,EMN,Moderate Buy
236,EMR,Moderate Buy
237,ENB,Moderate Buy
238,ENQUF,Hold
239,ENT,Hold
240,EOG,Strong Buy
241,EQIX,Strong Buy
242,EQR,Hold
243,ES,Moderate Buy
244,ESALY,Moderate Sell
245,ESS,Moderate Buy
246,ETFC,Moderate Buy
247,ETN,Moderate Buy
248,ETR,Strong Buy
249,EVRG,Moderate Buy
250,EVRZF,Strong Sell
251,EW,Moderate Buy
252,EXC,Moderate Buy
253,EXPD,Hold
254,EXPE,Moderate Buy
255,EXR,Hold
256,F,Moderate Buy
257,FANG,Strong Buy
258,FANUY,Moderate Sell
259,FAST,Moderate Buy
260,FB,Strong Buy
261,FBHS,Moderate Buy
262,FCX,Moderate Buy
